Activity_acc,org:resource_acc,impact_acc,concept:name_acc,lifecycle:transition_acc,org:group_acc,org:role_acc,organization country_acc,organization involved_acc,product_acc,resource country_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
0.6715976595878601,0.20783132314682007,1.0,0.8372781276702881,0.6834319829940796,0.9526627063751221,0.803108811378479,0.9733728170394897,0.359050452709198,0.45562130212783813,0.857988178730011,0.021401754580438137,17.940802054596134,0.01887846738100052
0.6538461446762085,0.14759035408496857,1.0,0.8284024000167847,0.6834319829940796,0.9349112510681152,0.7901554107666016,0.9733728170394897,0.36201781034469604,0.41124260425567627,0.8550295829772949,0.03912363387644291,19.51706871256465,0.03571616858243942
0.6775147914886475,0.1897590309381485,1.0,0.857988178730011,0.7071006298065186,0.9526627063751221,0.7772020697593689,0.9733728170394897,0.43323442339897156,0.4585798978805542,0.884615421295166,0.018771961331367493,18.087668773252517,0.01664683036506176
0.6272189617156982,0.14457830786705017,1.0,0.8491124510765076,0.6863905191421509,0.9349112510681152,0.756476640701294,0.9852071404457092,0.3798219561576843,0.4082840383052826,0.8461538553237915,0.015338928904384375,18.928103450743947,0.019498813897371292
0.668639063835144,0.1897590309381485,1.0,0.8224852085113525,0.6775147914886475,0.9408284425735474,0.7176165580749512,0.9822485446929932,0.40652817487716675,0.4082840383052826,0.8668639063835144,0.020174765959382057,19.872799847944407,0.017942095175385475
0.6597633361816406,0.15662649273872375,1.0,0.8727810978889465,0.7100591659545898,0.9437869787216187,0.7668393850326538,0.9792899489402771,0.3531157374382019,0.4378698170185089,0.8727810978889465,0.02051563886925578,19.380172299104743,0.01574745774269104
0.715976357460022,0.14759035408496857,1.0,0.857988178730011,0.715976357460022,0.9437869787216187,0.7797927260398865,0.976331353187561,0.41246291995048523,0.45266273617744446,0.8550295829772949,0.027284338138997555,18.783321056107525,0.018479712307453156
0.6124260425567627,0.14759035408496857,1.0,0.8491124510765076,0.6804733872413635,0.9112426042556763,0.7150259017944336,0.976331353187561,0.3916913866996765,0.3076923191547394,0.857988178730011,0.014905434101819992,20.04472551343497,0.011103149503469467
0.7011834383010864,0.1897590309381485,1.0,0.8520710468292236,0.7041420340538025,0.9349112510681152,0.7512953281402588,0.9733728170394897,0.48367953300476074,0.5,0.860946774482727,0.012074918020516634,18.602453355211765,0.010249941609799862
0.6715976595878601,0.16566264629364014,1.0,0.8284024000167847,0.6804733872413635,0.9408284425735474,0.7746113538742065,0.9733728170394897,0.4035608172416687,0.5118343234062195,0.8875739574432373,0.01719423709437251,16.848710696445778,0.015121621079742908
