Activity_acc,org:resource_acc,impact_acc,concept:name_acc,lifecycle:transition_acc,org:group_acc,org:role_acc,organization country_acc,organization involved_acc,product_acc,resource country_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
0.6397380232810974,0.2022988498210907,1.0,0.807860255241394,0.7270742654800415,0.9561403393745422,0.772819459438324,0.9585152864456177,0.360619455575943,0.43668124079704285,0.8296943306922913,0.027001917362213135,17.66672142688185,0.020811252295970917
0.6179039478302002,0.1310344785451889,1.0,0.7860262393951416,0.6375545859336853,0.9561403393745422,0.7464503049850464,0.9737991690635681,0.38274335861206055,0.4126637578010559,0.8318777680397034,0.03848834149539471,18.97032755287364,0.033885009586811066
0.6855895519256592,0.1701149344444275,1.0,0.7925764322280884,0.7096070051193237,0.9429824352264404,0.7545638680458069,0.9585152864456177,0.3960177004337311,0.4803493618965149,0.8624454140663147,0.01927873305976391,17.75108092557639,0.016404949128627777
0.6135371327400208,0.12413793057203293,1.0,0.8013100624084473,0.6593886613845825,0.9451754689216614,0.726166307926178,0.9694323539733887,0.38274335861206055,0.3951965272426605,0.8253275156021118,0.014085675124078989,18.59745850833133,0.017304301261901855
0.6550218462944031,0.158620685338974,1.0,0.7663755416870117,0.6855895519256592,0.9429824352264404,0.6876267790794373,0.9737991690635681,0.4292035400867462,0.38864630460739136,0.8515284061431885,0.01866475585848093,19.18409419595264,0.016718490049242973
0.6441048383712769,0.1632183939218521,1.0,0.807860255241394,0.7227074503898621,0.9583333134651184,0.7586206793785095,0.971615731716156,0.36946901679039,0.4235807955265045,0.847161591053009,0.019059826154261827,18.74222810054198,0.01486681867390871
0.6506550312042236,0.1471264362335205,1.0,0.7707423567771912,0.7117903828620911,0.9539473652839661,0.7687626481056213,0.9737991690635681,0.39159291982650757,0.4585152864456177,0.8231441378593445,0.02993428148329258,18.14889609394595,0.02229597233235836
0.5895196795463562,0.13333332538604736,1.0,0.7816594243049622,0.7030567526817322,0.9276315569877625,0.6937119364738464,0.9388646483421326,0.35176992416381836,0.2751091718673706,0.8340611457824707,0.019092214293777943,20.16009988449514,0.013563642278313637
0.6986899375915527,0.17931035161018372,1.0,0.7576419115066528,0.7139738202095032,0.9517543911933899,0.6876267790794373,0.9694323539733887,0.4092920422554016,0.4737991392612457,0.8296943306922913,0.01335752522572875,18.408069476950914,0.010929794050753117
0.6593886613845825,0.13793103396892548,1.0,0.7816594243049622,0.7030567526817322,0.9627193212509155,0.7221094965934753,0.9475982785224915,0.38274335861206055,0.4978165924549103,0.8406113386154175,0.018975683022290468,17.412779247853905,0.01565060392022133
