Activity_acc,org:resource_acc,impact_acc,concept:name_acc,lifecycle:transition_acc,org:group_acc,org:role_acc,organization country_acc,organization involved_acc,product_acc,resource country_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
0.7564103007316589,0.156695157289505,0.8966408371925354,0.9110512137413025,0.8271276354789734,0.8586956858634949,0.6306954622268677,0.8666666746139526,0.24598930776119232,0.36533331871032715,0.7672634124755859,0.03735426999628544,20.707230450585485,0.02612234093248844
0.7538461685180664,0.07122506946325302,0.930232584476471,0.8733153343200684,0.8058510422706604,0.8804348111152649,0.5995203852653503,0.8959999680519104,0.2754010856151581,0.3466666638851166,0.7851662635803223,0.03799000568687916,22.107802907004952,0.03612220287322998
0.7794871926307678,0.12250712513923645,0.8940568566322327,0.9245283007621765,0.8191488981246948,0.883152186870575,0.6187050342559814,0.8853332996368408,0.25401070713996887,0.36800000071525574,0.7774935960769653,0.02072823327034712,20.200483891181648,0.016901131719350815
0.7333333492279053,0.054131053388118744,0.9354005455970764,0.9029649496078491,0.8085106015205383,0.864130437374115,0.5803357362747192,0.9013333320617676,0.26737967133522034,0.335999995470047,0.7595908045768738,0.016174199525266886,20.796242001000792,0.017847536131739616
0.7743589878082275,0.12535612285137177,0.8682170510292053,0.878706157207489,0.8111701607704163,0.8777174353599548,0.5611510872840881,0.8959999680519104,0.28877004981040955,0.3253333270549774,0.782608687877655,0.0179749745875597,21.443392204120755,0.016986558213829994
0.6769230961799622,0.08547008782625198,0.9224806427955627,0.8975741267204285,0.813829779624939,0.9021739363670349,0.60671466588974,0.9173333048820496,0.259358286857605,0.37066665291786194,0.7851662635803223,0.020927853882312775,21.152329169213772,0.017164703458547592
0.7897436022758484,0.11680911481380463,0.9173126816749573,0.9164420366287231,0.835106372833252,0.8695652484893799,0.60671466588974,0.8986666798591614,0.3074866235256195,0.41066667437553406,0.7800511717796326,0.03964029625058174,20.026394095271826,0.029281241819262505
0.7538461685180664,0.08547008782625198,0.9276486039161682,0.9191374182701111,0.8218084573745728,0.8097826242446899,0.5635491609573364,0.871999979019165,0.27807486057281494,0.24799999594688416,0.7595908045768738,0.018153619021177292,22.212659295648336,0.015243052504956722
0.7461538910865784,0.12250712513923645,0.9173126816749573,0.9083557724952698,0.8218084573745728,0.89402174949646,0.5251798629760742,0.890666663646698,0.2914438545703888,0.3919999897480011,0.7570332288742065,0.013552859425544739,20.86267177760601,0.012749822810292244
0.7717949151992798,0.10256410390138626,0.9224806427955627,0.8733153343200684,0.8191488981246948,0.904891312122345,0.6211031079292297,0.8826666474342346,0.26203209161758423,0.42933332920074463,0.7723785042762756,0.019901362247765064,19.60101975221187,0.01766115613281727
