org:resource_acc,Activity_acc,org:role_acc,case:Project_acc,case:Task_acc,case:OrganizationalEntity_acc,case:Activity_acc,case:RfpNumber_acc,time:timestamp_mae,case:RequestedAmount_mae,AVG_total_loss,MAE_time:timestamp,MAE_case:RequestedAmount
0.99903804063797,0.9704185128211975,0.990620493888855,0.9208754301071167,0.7582972645759583,0.9122174382209778,1.0,0.044733043760061264,0.07350147041407498,0.06234989450736479,11.436146242459388,0.07334817200899124,0.06258146464824677
0.9992785453796387,0.9680134654045105,0.990620493888855,0.8994709253311157,0.7539682388305664,0.9278499484062195,1.0,0.044733043760061264,0.11362263831225308,0.06327066841450604,11.529537342742763,0.11354124546051025,0.06355738639831543
0.99903804063797,0.9713804721832275,0.9913420081138611,0.8766233921051025,0.7539682388305664,0.9278499484062195,1.0,0.044733043760061264,0.07653319090604782,0.17971805957230655,11.648870687550781,0.07649892568588257,0.1799488365650177
0.99903804063797,0.9684944748878479,0.9891775250434875,0.9066859483718872,0.7582972645759583,0.9122174382209778,1.0,0.044733043760061264,0.23727634007280524,0.05291633815927939,11.693250398405574,0.23728938400745392,0.052958227694034576
0.9992785453796387,0.9687349796295166,0.9891775250434875,0.8997114300727844,0.7539682388305664,0.930014431476593,1.0,0.044733043760061264,0.04610939052971927,0.11042933504689824,11.465777857229114,0.04629333317279816,0.1105835810303688
0.9992785453796387,0.9684944748878479,0.9894180297851562,0.8927369117736816,0.7539682388305664,0.9278499484062195,1.0,0.044733043760061264,0.07575881345705553,0.05949724770405076,11.478169903667135,0.07601713389158249,0.059557002037763596
0.99903804063797,0.9684944748878479,0.9891775250434875,0.8585858941078186,0.7539682388305664,0.9278499484062195,1.0,0.044733043760061264,0.11345237290317362,0.04630266671830958,11.49175843054598,0.11372342705726624,0.04638591781258583
0.99903804063797,0.9694564938545227,0.9891775250434875,0.8831169009208679,0.7539682388305664,0.9278499484062195,1.0,0.044733043760061264,0.05956842614845796,0.09208070960911838,11.454257138115777,0.05957706645131111,0.09233678877353668
0.99903804063797,0.9684944748878479,0.989658534526825,0.9141414165496826,0.7539682388305664,0.9122174382209778,1.0,0.044733043760061264,0.04711039059541442,0.071064005182548,11.430117508142509,0.0469188317656517,0.07123225927352905
0.9992785453796387,0.9696969985961914,0.9894180297851562,0.9194324612617493,0.7546897530555725,0.9278499484062195,1.0,0.044733043760061264,0.02839238586073572,0.03633129935372959,11.372975064949555,0.028404900804162025,0.03658794239163399
