Activity_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
0.7100591659545898,0.005365260178223252,0.8631827014032751,0.005600973963737488
0.7071006298065186,0.005964441690593958,0.8668835000135005,0.005443307105451822
0.7130177617073059,0.006566643947735429,0.9297568800393492,0.006474520545452833
0.7100591659545898,0.0106962607242167,0.871401755604893,0.009488081559538841
0.7041420340538025,0.00804058089852333,0.8775731660425663,0.0069139753468334675
0.6893491148948669,0.007453026017174125,0.8697920755948871,0.006519027054309845
0.6982248425483704,0.007197940489277244,0.8836706520523876,0.00611270172521472
0.6863905191421509,0.008413893170654774,0.876932573504746,0.007026562467217445
0.7071006298065186,0.011344742961227894,0.8933428646996617,0.00990841444581747
0.715976357460022,0.006874100770801306,0.8811536892317235,0.006535089109092951
