org:resource_acc,Activity_acc,org:role_acc,case:Project_acc,case:Task_acc,case:OrganizationalEntity_acc,case:Activity_acc,case:RfpNumber_acc,time:timestamp_mae,case:RequestedAmount_mae,AVG_total_loss,MAE_time:timestamp,MAE_case:RequestedAmount
0.9987239241600037,0.9413015842437744,0.9925563335418701,0.9323691725730896,0.7554231882095337,0.947469174861908,1.0,0.03998298570513725,0.01074026973748749,0.12718902189623227,11.753549907822162,0.010441993363201618,0.12748196721076965
0.996597170829773,0.9793704748153687,0.9912803173065186,0.9336452484130859,0.753296434879303,0.947043776512146,1.0,0.03998298570513725,0.006667808756570925,0.06903915378180417,11.497180348600853,0.006476354785263538,0.06903570890426636
0.9993619918823242,0.9349213242530823,0.9891535639762878,0.9413015842437744,0.7530837655067444,0.9517226815223694,1.0,0.03998298570513725,0.006460273680700498,0.1448712240565907,11.394914283713495,0.006266371812671423,0.14519785344600677
0.9997873306274414,0.9523606896400452,0.990642249584198,0.9296044111251831,0.7526584267616272,0.9451297521591187,1.0,0.03998298570513725,0.006910807453095913,0.12148235467347232,11.233260283246636,0.006730854045599699,0.12181294709444046
0.9980859160423279,0.9461930990219116,0.9938324093818665,0.8987664580345154,0.7526584267616272,0.9198213219642639,1.0,0.03998298570513725,0.007510654924606735,0.14092584834857422,11.764634166209197,0.007235473021864891,0.14131411910057068
0.9982985854148865,0.9774563908576965,0.9870268106460571,0.9123777151107788,0.75669926404953,0.9247128963470459,1.0,0.03998298570513725,0.006574076600372791,0.12055678259242665,11.595226871738719,0.006388740614056587,0.12060428410768509
0.9963845014572144,0.9323691725730896,0.9900042414665222,0.9268396496772766,0.7541471719741821,0.9387494325637817,1.0,0.03998298570513725,0.008413866712627087,0.10644158720970154,11.635899483078076,0.008336946368217468,0.10678167641162872
0.9980859160423279,0.9430029392242432,0.9919183254241943,0.9140791296958923,0.7539345026016235,0.9153551459312439,1.0,0.03998298570513725,0.008253613825548779,0.07889593257145448,11.594250978838483,0.007978025823831558,0.07907582819461823
0.9980859160423279,0.9551254510879517,0.9885154962539673,0.9423649311065674,0.7543598413467407,0.9417269229888916,1.0,0.03998298570513725,0.008838973389091816,0.06149428913539106,11.273581261958249,0.00854174792766571,0.06161600723862648
0.9997873306274414,0.9449170231819153,0.9936197400093079,0.9304550886154175,0.7526584267616272,0.9451297521591187,1.0,0.03998298570513725,0.006535585080696778,0.1008132750337774,11.627087217057124,0.0062986500561237335,0.10082554817199707
