org:resource_acc,Activity_acc,org:role_acc,case:Project_acc,case:Task_acc,case:OrganizationalEntity_acc,case:Activity_acc,case:RfpNumber_acc,time:timestamp_mae,case:RequestedAmount_mae,AVG_total_loss,MAE_time:timestamp,MAE_case:RequestedAmount
1.0,0.9672920107841492,0.9918230175971985,0.9367484450340271,0.7561327815055847,0.9514189958572388,1.0,0.044733043760061264,0.00896613435311751,0.04669454896991903,11.46605064959096,0.008677461184561253,0.04690558463335037
0.9995189905166626,0.9694564938545227,0.9920635223388672,0.941077470779419,0.7570948004722595,0.9540644884109497,1.0,0.044733043760061264,0.005737222053787925,0.10044380277395248,11.15396140712652,0.005589568056166172,0.10030018538236618
1.0,0.9639250040054321,0.9944685101509094,0.9425204396247864,0.7544492483139038,0.9615199565887451,1.0,0.044733043760061264,0.00773672911931168,0.08960010043599388,10.889359136217866,0.007570880930870771,0.08963961154222488
1.0,0.9680134654045105,0.9923040270805359,0.9369889497756958,0.7539682388305664,0.9506974816322327,1.0,0.044733043760061264,0.007126885931938887,0.09317779405550523,10.91664375834675,0.006969604641199112,0.09337407350540161
0.9995189905166626,0.9656084775924683,0.9911015033721924,0.9184704422950745,0.7539682388305664,0.9499759674072266,1.0,0.044733043760061264,0.0066370483995838595,0.06456259536472234,11.396905264542015,0.006364607717841864,0.0647723525762558
1.0,0.9675325155258179,0.9901394844055176,0.936026930809021,0.7582972645759583,0.9314574599266052,1.0,0.044733043760061264,0.0058025621216405525,0.06319986961104652,11.2596592271637,0.005652234889566898,0.06313104927539825
0.9995189905166626,0.9588744640350342,0.9920635223388672,0.9338624477386475,0.755892276763916,0.9480519890785217,1.0,0.044733043760061264,0.007461957083168355,0.09769094261256131,11.358822654509408,0.007414435036480427,0.09763683378696442
0.9997594952583313,0.9684944748878479,0.9947090148925781,0.9405964612960815,0.7554112672805786,0.9160654544830322,1.0,0.044733043760061264,0.005728889574212107,0.055020289664918724,11.252926186065782,0.005483168642967939,0.05493857339024544
0.9995189905166626,0.9684944748878479,0.9915825128555298,0.945406436920166,0.7568542957305908,0.9526214599609375,1.0,0.044733043760061264,0.0073779931884597645,0.05109399049119516,10.95847941759381,0.007088411133736372,0.05118352919816971
1.0,0.969215989112854,0.9927850365638733,0.93241947889328,0.7539682388305664,0.947811484336853,1.0,0.044733043760061264,0.007339341311969541,0.10156764631921594,11.283414655111052,0.007141017355024815,0.1016201302409172
