,trial_index,arm_name,trial_status,generation_method,AVG_total_loss,Activity_acc,DEVICETYPE_acc,MAE_time:timestamp,REPAIR_IN_TIME_5D_acc,org:resource_acc,time:timestamp_mae,layers,lr,batch_size,weight_decay,aggregation,hid
49,49,39_0,COMPLETED,BoTorch,1.026718486341359,0.730694591999054,0.9781968593597412,0.019747549667954445,0.9957185983657837,0.9858077764511108,0.0196394084972693,4,0.0001,128,0.01,sum,128
38,38,38_0,COMPLETED,BoTorch,1.0273509569693964,0.7341501712799072,0.9733977913856506,0.0159774087369442,0.9922760128974915,0.9867185354232788,0.015846279258018032,4,0.0001,128,0.010035543835777015,sum,128
48,48,39_0,COMPLETED,BoTorch,1.029358332753829,0.7347606420516968,0.9761354327201843,0.014939216896891594,0.99461829662323,0.9860479831695557,0.014811005659979136,4,0.0001,128,0.01,sum,128
47,47,39_0,COMPLETED,BoTorch,1.0298871460114232,0.7394480109214783,0.973365068435669,0.015397767536342144,0.9937140941619873,0.9869287610054016,0.0152751496572167,4,0.0001,128,0.01,sum,128
44,44,44_0,COMPLETED,BoTorch,1.0306186293411184,0.7320353984832764,0.9745648503303528,0.015183482319116592,0.993365466594696,0.9860379695892334,0.015053889646946907,4,0.0001,128,0.010668932544516193,sum,128
45,45,39_0,COMPLETED,BoTorch,1.031887548167587,0.7301713824272156,0.974652111530304,0.015022752806544304,0.9944657683372498,0.9858378171920776,0.014894252781193445,4,0.0001,128,0.01,sum,128
46,46,39_0,COMPLETED,BoTorch,1.0417915624323586,0.7275115847587585,0.9759718179702759,0.01824808306992054,0.9947272539138794,0.9861180186271667,0.018113183407959612,4,0.0001,128,0.01,sum,128
39,39,39_0,COMPLETED,BoTorch,1.0490016066220236,0.729408323764801,0.9741285443305969,0.01621132902801037,0.9953373074531555,0.9860079288482666,0.01609517416025308,4,0.0001,128,0.01,sum,128
42,42,42_0,COMPLETED,BoTorch,1.0516124077323068,0.733332633972168,0.974335789680481,0.014947851188480854,0.9955224990844727,0.9856076240539551,0.014821369280630254,4,0.0001,128,0.010783840956595231,sum,128
37,37,37_0,COMPLETED,BoTorch,1.0540125657154376,0.7305638194084167,0.9744012355804443,0.015158852562308311,0.995838463306427,0.9845166802406311,0.015034067827989073,4,0.0001,128,0.011928272625225212,sum,128
43,43,43_0,COMPLETED,BoTorch,1.0557481367240615,0.7323624491691589,0.9725361466407776,0.017571521922945976,0.991927444934845,0.9839861989021301,0.0174602148830293,4,0.0001,128,0.010681910476987846,sum,128
19,19,19_0,COMPLETED,BoTorch,1.0624886542038225,0.7363848686218262,0.9713254570960999,0.015104636549949646,0.9951630234718323,0.9835458397865295,0.014977436904910015,4,0.0005914924199700954,128,0.012320718514611887,sum,128
