,trial_index,arm_name,trial_status,generation_method,AVG_total_loss,Activity_acc,MAE_time:timestamp,time:timestamp_mae,layers,lr,batch_size,weight_decay,aggregation,hid
92,92,92_0,COMPLETED,BoTorch,0.3702798602171242,0.8760318756103516,0.08679475635290146,0.0867111966945231,4,0.0015108287328422759,32,0.01,sum,128
64,64,64_0,COMPLETED,BoTorch,0.37445320887491107,0.869468092918396,0.07985180616378784,0.07975089503452182,4,0.0010211745102456826,32,0.01,sum,128
68,68,68_0,COMPLETED,BoTorch,0.37469747196882963,0.8729868531227112,0.07850653678178787,0.07841429021209478,4,0.0010915509397146383,32,0.01,sum,128
37,37,37_0,COMPLETED,BoTorch,0.37609681440517306,0.8667613863945007,0.08461514115333557,0.08445773972198367,4,0.001585652324504123,32,0.01,sum,128
63,63,63_0,COMPLETED,BoTorch,0.377067512832582,0.8677763938903809,0.07886269688606262,0.07889204565435648,4,0.0011236549650355259,32,0.01,sum,128
75,75,75_0,COMPLETED,BoTorch,0.38386042253114283,0.869265079498291,0.08447349071502686,0.08438729331828654,4,0.0013059114076036122,32,0.01,sum,128
43,43,43_0,COMPLETED,BoTorch,0.3855105312541127,0.8677763938903809,0.09196353703737259,0.09190303925424814,4,0.00172011176007414,32,0.01,sum,128
56,56,56_0,COMPLETED,BoTorch,0.38589877681806684,0.869671106338501,0.08393467962741852,0.08389949472621083,4,0.0016600110274104388,32,0.01,sum,128
81,81,81_0,COMPLETED,BoTorch,0.386617464479059,0.869197428226471,0.09519796073436737,0.09508581412956119,4,0.0013845321207366695,64,0.01,sum,128
34,34,34_0,COMPLETED,BoTorch,0.3891177459154278,0.8589795231819153,0.08247695118188858,0.0824520590249449,4,0.0016283746564402315,32,0.01,sum,128
36,36,36_0,COMPLETED,BoTorch,0.393057769164443,0.8722424507141113,0.0957651287317276,0.09603019431233406,4,0.0016104316138149724,32,0.01,sum,128
60,60,60_0,COMPLETED,BoTorch,0.39362864661961794,0.8637163043022156,0.08990872651338577,0.08996556233614683,4,0.0017302084256903194,32,0.01,sum,128
29,29,29_0,COMPLETED,BoTorch,0.39392744470387697,0.8654756546020508,0.09155970066785812,0.0916919568553567,4,0.0017170132667738537,32,0.010594680853546474,sum,128
35,35,35_0,COMPLETED,BoTorch,0.3939660037867725,0.8631072640419006,0.08475328236818314,0.08470872370526195,4,0.001611050683299666,32,0.01,sum,128
62,62,62_0,COMPLETED,BoTorch,0.39770946209318936,0.8657463192939758,0.081238754093647,0.08121107262559235,4,0.0010608251239356708,32,0.01,sum,128
95,95,95_0,COMPLETED,BoTorch,0.39796326495707035,0.8622276186943054,0.08405272662639618,0.08415282517671585,4,0.0014161900097877966,32,0.010172367119893782,sum,128
55,55,55_0,COMPLETED,BoTorch,0.39914967864751816,0.8685207366943359,0.0897936224937439,0.08990854024887085,4,0.0016503537923053333,32,0.01,sum,128
74,74,74_0,COMPLETED,BoTorch,0.4022713005542755,0.8650696277618408,0.08010275661945343,0.07994175143539906,4,0.0012843077411360784,32,0.01,sum,128
73,73,73_0,COMPLETED,BoTorch,0.4023759439587593,0.8556637763977051,0.08752003312110901,0.0873916745185852,4,0.0013031792619897433,32,0.01,sum,128
91,91,91_0,COMPLETED,BoTorch,0.403321236371994,0.8531600832939148,0.0876498892903328,0.0875613410025835,4,0.001520377434257191,32,0.01,sum,128
51,51,51_0,COMPLETED,BoTorch,0.4048939226195216,0.8621599078178406,0.08391833305358887,0.08375956024974585,4,0.0016547931098152965,32,0.01,sum,128
79,79,79_0,COMPLETED,BoTorch,0.40797828044742346,0.8627012968063354,0.08817754685878754,0.08800841215997934,4,0.0012994053541396395,32,0.01,sum,128
83,83,83_0,COMPLETED,BoTorch,0.4083844833076,0.8654080033302307,0.09735483676195145,0.09736374206840992,4,0.0016070907521835418,64,0.01,sum,128
87,87,87_0,COMPLETED,BoTorch,0.41071481816470623,0.8580321669578552,0.08925765007734299,0.08924698270857334,4,0.0014622789230502834,32,0.01,sum,128
49,49,49_0,COMPLETED,BoTorch,0.4109420687891543,0.8621599078178406,0.09031796455383301,0.090262854937464,4,0.0016376282725973832,32,0.01,sum,128
42,42,42_0,COMPLETED,BoTorch,0.41121612023562193,0.8641223311424255,0.09098757058382034,0.09092667046934366,4,0.0017065562027568256,32,0.01,sum,128
47,47,47_0,COMPLETED,BoTorch,0.41238328674808145,0.8601298928260803,0.0886431634426117,0.08868664363399148,4,0.001691042617325632,32,0.01,sum,128
33,33,33_0,COMPLETED,BoTorch,0.41453898325562477,0.8647313117980957,0.093220055103302,0.09321869164705276,4,0.0016182945900583814,32,0.01,sum,128
99,99,99_0,COMPLETED,BoTorch,0.41584294149652123,0.8658140301704407,0.092680923640728,0.09257249953225255,4,0.0012869589058759306,32,0.01,sum,128
67,67,67_0,COMPLETED,BoTorch,0.41663813265040517,0.8508593440055847,0.08940030634403229,0.08940247492864728,4,0.0010495454069473333,32,0.01,sum,128
90,90,90_0,COMPLETED,BoTorch,0.41706687305122614,0.8639869689941406,0.09731174260377884,0.09724846016615629,4,0.0015158090662711313,32,0.01,sum,128
30,30,30_0,COMPLETED,BoTorch,0.41819120245054364,0.8591825366020203,0.09534864872694016,0.09533012518659234,4,0.0016468112519493242,32,0.01,sum,128
96,96,96_0,COMPLETED,BoTorch,0.4197256653569639,0.856002151966095,0.0878681093454361,0.08798395236954093,4,0.0014183295432205827,32,0.01015359751267274,sum,128
80,80,80_0,COMPLETED,BoTorch,0.4201426871586591,0.8491676449775696,0.08459092676639557,0.08441186440177262,4,0.0013165362587861512,32,0.01,sum,128
39,39,39_0,COMPLETED,BoTorch,0.4211274143308401,0.8599945306777954,0.09083244204521179,0.09066857770085335,4,0.0016128019898793244,32,0.01,sum,128
98,98,98_0,COMPLETED,BoTorch,0.42430437495931983,0.8539720773696899,0.09102383255958557,0.09086278965696692,4,0.001317314359906682,32,0.01,sum,128
66,66,66_0,COMPLETED,BoTorch,0.424333319067955,0.8578968048095703,0.09582672268152237,0.09582824818789959,4,0.0009506973859258121,32,0.01,sum,128
84,84,84_0,COMPLETED,BoTorch,0.4243501597084105,0.8548517823219299,0.08821263909339905,0.08800954604521394,4,0.0015768608508118147,64,0.01,sum,128
72,72,72_0,COMPLETED,BoTorch,0.42524093436077237,0.85579913854599,0.08976419270038605,0.08959569642320275,4,0.0012526376995718182,32,0.01,sum,128
45,45,45_0,COMPLETED,BoTorch,0.42658261815086007,0.8571524620056152,0.08886680752038956,0.08897012704983354,4,0.00171038322654687,32,0.01,sum,128
40,40,40_0,COMPLETED,BoTorch,0.428384177852422,0.8612125515937805,0.1007414385676384,0.10065612802281976,4,0.001621547465318054,32,0.01,sum,128
70,70,70_0,COMPLETED,BoTorch,0.4337883391417563,0.8552577495574951,0.09049136936664581,0.09036631556227803,4,0.0011511465225779046,32,0.01,sum,128
52,52,52_0,COMPLETED,BoTorch,0.4350668089464307,0.8512653708457947,0.09654182940721512,0.09656890574842691,4,0.0016700969874800405,32,0.01,sum,128
77,77,77_0,COMPLETED,BoTorch,0.43747682264074683,0.856475830078125,0.09735608100891113,0.09729957906529307,4,0.0012474573585915842,32,0.01,sum,128
54,54,54_0,COMPLETED,BoTorch,0.43847777089104056,0.8570848107337952,0.09179161489009857,0.09179488895460963,4,0.0016506181496285372,32,0.01,sum,128
38,38,38_0,COMPLETED,BoTorch,0.43869727244600654,0.8471375703811646,0.08790218830108643,0.08790738461539149,4,0.001563036257458786,32,0.01,sum,128
88,88,88_0,COMPLETED,BoTorch,0.4399664243683219,0.8543103933334351,0.0894944816827774,0.08952383603900671,4,0.0014771927583506626,32,0.01,sum,128
50,50,50_0,COMPLETED,BoTorch,0.4409184465184808,0.8516036868095398,0.08542407304048538,0.08542858716100454,4,0.0016497290841035257,32,0.01,sum,128
97,97,97_0,COMPLETED,BoTorch,0.4436322865076363,0.8462579250335693,0.08862467110157013,0.08860116684809327,4,0.0010823932669783893,32,0.010551415565112627,sum,128
71,71,71_0,COMPLETED,BoTorch,0.4443313404917717,0.8559344410896301,0.1031997874379158,0.10324139147996902,4,0.001211269609110125,32,0.01,sum,128
46,46,46_0,COMPLETED,BoTorch,0.44715929916128516,0.8492352962493896,0.10306297242641449,0.10298051638528705,4,0.0016956997156199849,32,0.01,sum,128
59,59,59_0,COMPLETED,BoTorch,0.4500109702348709,0.854242742061615,0.10114514082670212,0.10117260180413723,4,0.0015502245553788764,32,0.01,sum,128
78,78,78_0,COMPLETED,BoTorch,0.4559554159641266,0.8463255763053894,0.10500270128250122,0.10497531481087208,4,0.0012711685438988667,32,0.01,sum,128
31,31,31_0,COMPLETED,BoTorch,0.4562341533601284,0.8467316031455994,0.09509237110614777,0.09509186074137688,4,0.0016782096834753383,32,0.01,sum,128
86,86,86_0,COMPLETED,BoTorch,0.46270855935290456,0.8380700349807739,0.10014920681715012,0.10024320753291249,4,0.0015726585152082116,64,0.01,sum,128
28,28,28_0,COMPLETED,BoTorch,0.47738616494461894,0.8455135822296143,0.10238558053970337,0.102457360830158,4,0.00151767863365706,32,0.01611613399860697,sum,128
57,57,57_0,COMPLETED,BoTorch,0.47857140377163887,0.85491943359375,0.0957794263958931,0.09549400582909584,4,0.002000638912768791,32,0.01,max,128
23,23,23_0,COMPLETED,BoTorch,0.4840514212846756,0.8353633284568787,0.09623154252767563,0.09604278393089771,4,0.001354726403186178,32,0.016950167885839813,sum,128
53,53,53_0,COMPLETED,BoTorch,0.48948281770572066,0.8552577495574951,0.10530949383974075,0.10508604859933257,4,0.0019461001390589947,32,0.01,max,128
20,20,20_0,COMPLETED,BoTorch,0.4903038633055985,0.8336039781570435,0.09916853904724121,0.09916026005521417,4,0.001266192810571982,32,0.0171808902681652,sum,128
94,94,94_0,COMPLETED,BoTorch,0.4924601116217673,0.8392881155014038,0.09838242828845978,0.09812596859410405,4,0.006224307811453045,32,0.01,max,128
13,13,13_0,COMPLETED,BoTorch,0.5012474413961172,0.8430098295211792,0.0948849469423294,0.09481647983193398,4,0.0010246001480793464,32,0.017215592956074343,sum,128
12,12,12_0,COMPLETED,BoTorch,0.5044667720794678,0.8426038026809692,0.09861891716718674,0.09857763722538948,4,0.0012358431664451191,32,0.018865217272956935,sum,128
22,22,22_0,COMPLETED,BoTorch,0.5061679445207119,0.8387467265129089,0.09876833111047745,0.09865268878638744,4,0.0013160298474859467,32,0.017049608684627845,sum,128
6,6,6_0,COMPLETED,Sobol,0.5117471031844616,0.8439571857452393,0.1071472018957138,0.10693304426968098,4,0.007858287818250697,128,0.011746187649060522,max,128
25,25,25_0,COMPLETED,BoTorch,0.5149050541222095,0.826904833316803,0.09774037450551987,0.09774489514529705,4,0.0014489685465402344,32,0.01668805774859293,sum,128
27,27,27_0,COMPLETED,BoTorch,0.5189552251249552,0.8289348483085632,0.10459307581186295,0.10465396009385586,4,0.0014947675503222835,32,0.01634493413876451,sum,128
18,18,18_0,COMPLETED,BoTorch,0.520367531105876,0.8388144373893738,0.10318335890769958,0.10319806262850761,4,0.0012718734310324384,32,0.017164118719312994,sum,128
24,24,24_0,COMPLETED,BoTorch,0.5225789244286716,0.8277844786643982,0.10854394733905792,0.10856331838294864,4,0.0014031199762736856,32,0.01670472302420076,sum,128
21,21,21_0,COMPLETED,BoTorch,0.5243625561706722,0.8326566219329834,0.1042613759636879,0.10422979248687625,4,0.0012859395942295892,32,0.01700736464111269,sum,128
26,26,26_0,COMPLETED,BoTorch,0.5249416283331811,0.8277168273925781,0.10456254333257675,0.10455149738118052,4,0.001501858926871159,32,0.01656174046674114,sum,128
61,61,61_0,COMPLETED,BoTorch,0.5271116402000189,0.8392881155014038,0.10996741056442261,0.10965173877775669,4,0.002389862239987235,32,0.01,max,128
17,17,17_0,COMPLETED,BoTorch,0.5305313905701041,0.8214913606643677,0.10360879451036453,0.10362836625427008,4,0.0012700037669927486,32,0.01723019419070417,sum,128
16,16,16_0,COMPLETED,BoTorch,0.5470455414615571,0.828055202960968,0.10954684764146805,0.10964331170544028,4,0.0012536959854031247,64,0.017213258161493397,sum,128
19,19,19_0,COMPLETED,BoTorch,0.5568275116384029,0.8242657780647278,0.10790130496025085,0.10798504203557968,4,0.0012877805805750783,32,0.017028477136737014,sum,128
69,69,69_0,COMPLETED,BoTorch,0.6120195896364748,0.8233184218406677,0.1398467868566513,0.13970334688201547,4,0.006551208544349419,512,0.01,max,128
9,9,9_0,COMPLETED,Sobol,0.7125197015702724,0.7462443709373474,0.1344647854566574,0.134719580411911,4,0.002248672749330768,64,0.020688945020275244,sum,128
15,15,15_0,COMPLETED,BoTorch,0.71394780324772,0.8129651546478271,0.13637752830982208,0.13629928650334477,4,0.001570825213923725,32,0.018319622454029648,max,128
5,5,5_0,COMPLETED,Sobol,0.8293262263759971,0.7358911633491516,0.15528824925422668,0.15589883085340261,4,0.0008914404220466969,64,0.03452938543005234,sum,128
65,65,65_0,COMPLETED,BoTorch,0.8796961298212409,0.7464473843574524,0.20327627658843994,0.20498497318476439,2,0.008701030778976965,32,0.01,max,128
44,44,44_0,COMPLETED,BoTorch,1.080615982413292,0.7283799648284912,0.36902353167533875,0.3702705092728138,2,0.1,32,0.01,max,128
93,93,93_0,COMPLETED,BoTorch,1.1815255098044872,0.5942617058753967,0.19893556833267212,0.19938291609287262,4,0.0001,32,0.1,sum,128
4,4,4_0,COMPLETED,Sobol,1.2080147322267294,0.7241845726966858,0.32755669951438904,0.32870848290622234,2,0.06148169810227145,512,0.01809463317306379,max,128
1,1,1_0,COMPLETED,Sobol,1.3040876239538193,0.6779671907424927,0.4691331088542938,0.4699091389775276,4,0.00029556780288134837,512,0.01620975110911805,max,128
82,82,82_0,COMPLETED,BoTorch,1.3254817873239517,0.7245905995368958,0.5824199318885803,0.5833928734064102,2,0.0001,512,0.01,sum,128
41,41,41_0,COMPLETED,BoTorch,1.3818466905504465,0.5435106158256531,0.27446380257606506,0.2763360906392336,4,0.1,32,0.01,mean,128
10,10,10_0,COMPLETED,BoTorch,1.3825209606438875,0.586479902267456,0.3625738322734833,0.3642966244369745,4,0.1,32,0.01136949012721778,max,128
