,trial_index,arm_name,trial_status,generation_method,AVG_total_loss,Activity_acc,MAE_time:timestamp,concept:name_acc,impact_acc,lifecycle:transition_acc,org:group_acc,org:resource_acc,org:role_acc,organization country_acc,organization involved_acc,product_acc,resource country_acc,time:timestamp_mae,layers,lr,batch_size,weight_decay,aggregation,hid
46,46,10_0,COMPLETED,BoTorch,17.772868797183037,0.7037783265113831,0.02573142573237419,0.7909460663795471,0.9747729301452637,0.7006595730781555,0.9342172741889954,0.1365801990032196,0.7399723529815674,0.9370558857917786,0.36629095673561096,0.4751269221305847,0.8378650546073914,0.02737854855755965,4,0.01,32,0.01,sum,128
18,18,10_0,COMPLETED,BoTorch,18.151233083335683,0.7032745480537415,0.01165485568344593,0.795015275478363,0.9783047437667847,0.7118213772773743,0.9194288849830627,0.1535203903913498,0.724757969379425,0.9456853270530701,0.34170079231262207,0.46192893385887146,0.842900276184082,0.012233996220553914,4,0.01,32,0.01,sum,128
12,12,10_0,COMPLETED,BoTorch,18.265883560447644,0.7032745480537415,0.013424153439700603,0.8001017570495605,0.975782036781311,0.7184170484542847,0.9337073564529419,0.12863948941230774,0.7072383761405945,0.948223352432251,0.3263319432735443,0.4573604166507721,0.8157099485397339,0.014627614834656319,4,0.01,32,0.01,sum,128
17,17,10_0,COMPLETED,BoTorch,18.267527599819005,0.7042821049690247,0.011083962395787239,0.8021363019943237,0.9732593297958374,0.6996448040008545,0.9301377534866333,0.17098994553089142,0.7146150469779968,0.9335025548934937,0.37756145000457764,0.4284264147281647,0.8182275891304016,0.010883869292835394,4,0.01,32,0.01,sum,128
25,25,10_0,COMPLETED,BoTorch,18.38606812634195,0.6690176129341125,0.017422735691070557,0.8001017570495605,0.9717456698417664,0.702688992023468,0.9382968544960022,0.14081524312496185,0.7072383761405945,0.9370558857917786,0.3483606278896332,0.4406091570854187,0.8212487697601318,0.018774454947561026,4,0.01,32,0.01,sum,128
26,26,10_0,COMPLETED,BoTorch,18.517501000935834,0.688664972782135,0.012161441147327423,0.800610363483429,0.9667003154754639,0.6910197734832764,0.896481454372406,0.11911064386367798,0.6998617053031921,0.9522842764854431,0.3647540807723999,0.4203045666217804,0.8202416896820068,0.012873507415254911,4,0.01,32,0.01,sum,128
36,36,10_0,COMPLETED,BoTorch,18.550644332465406,0.6720402836799622,0.010366729460656643,0.7787385582923889,0.9707366228103638,0.6900050640106201,0.9245283603668213,0.17257808148860931,0.7090825438499451,0.9446700811386108,0.4164958894252777,0.39289340376853943,0.826787531375885,0.010254646263395747,4,0.01,32,0.01,sum,128
44,44,10_0,COMPLETED,BoTorch,18.576969262367736,0.7057934403419495,0.014137540943920612,0.8067141771316528,0.9747729301452637,0.6945712566375732,0.9133095741271973,0.11752250045537949,0.7330567240715027,0.9390863180160522,0.2648565471172333,0.4441624581813812,0.843907356262207,0.014800317119807005,4,0.01,32,0.01,sum,128
23,23,10_0,COMPLETED,BoTorch,18.625646161303546,0.6967254281044006,0.009910034947097301,0.7858596444129944,0.9712411761283875,0.7037037014961243,0.9321774840354919,0.1503441035747528,0.696173369884491,0.938071072101593,0.32172128558158875,0.3609137237071991,0.8192346692085266,0.0103679154223452,4,0.01,32,0.01,sum,128
35,35,10_0,COMPLETED,BoTorch,18.628496883437037,0.6977329850196838,0.022305142134428024,0.7934893369674683,0.9727547764778137,0.7042110562324524,0.9321774840354919,0.1619904786348343,0.7196865081787109,0.9431472420692444,0.3642417788505554,0.33908629417419434,0.830312192440033,0.023284342760841053,4,0.01,32,0.01,sum,128
40,40,10_0,COMPLETED,BoTorch,18.65311414950217,0.691183865070343,0.014289015904068947,0.7929806709289551,0.9667003154754639,0.6966006755828857,0.9337073564529419,0.15616728365421295,0.6828031539916992,0.9578680396080017,0.3785860538482666,0.39593908190727234,0.830312192440033,0.015276739839464426,4,0.01,32,0.01,sum,128
10,10,10_0,COMPLETED,BoTorch,18.676356927802164,0.6851385235786438,0.012349504046142101,0.7889115214347839,0.9712411761283875,0.6996448040008545,0.9015808701515198,0.14028586447238922,0.6989396214485168,0.9639593958854675,0.3898565471172333,0.35989847779273987,0.8333333134651184,0.012624142070611319,4,0.01,32,0.01,sum,128
13,13,10_0,COMPLETED,BoTorch,18.691994460765272,0.6992443203926086,0.014070781879127026,0.8062055110931396,0.9586276412010193,0.7174023389816284,0.9291178584098816,0.17098994553089142,0.6994006633758545,0.948731005191803,0.38831964135169983,0.3954314887523651,0.829305112361908,0.014430235295246044,4,0.01,32,0.01,sum,128
19,19,10_0,COMPLETED,BoTorch,18.796006659977138,0.698740541934967,0.021567143499851227,0.7909460663795471,0.9717456698417664,0.6966006755828857,0.9275879859924316,0.12599259614944458,0.7090825438499451,0.9492385983467102,0.3857581615447998,0.40761423110961914,0.830312192440033,0.02203583810478449,4,0.01,32,0.01,sum,128
41,41,10_0,COMPLETED,BoTorch,18.81675928318873,0.7158690094947815,0.011277266778051853,0.8168870806694031,0.9798183441162109,0.710806667804718,0.914329469203949,0.15404976904392242,0.6749654412269592,0.9451776742935181,0.337602436542511,0.4441624581813812,0.8277945518493652,0.011871826990197102,4,0.01,32,0.01,sum,128
38,38,10_0,COMPLETED,BoTorch,18.823703376421083,0.6841309666633606,0.012984074652194977,0.7909460663795471,0.9601412415504456,0.6686960458755493,0.9036206603050232,0.1826363205909729,0.7206085920333862,0.938578724861145,0.4164958894252777,0.4091370701789856,0.8207452297210693,0.013476707506924868,4,0.01,32,0.01,sum,128
14,14,10_0,COMPLETED,BoTorch,18.841381104973454,0.7037783265113831,0.018780440092086792,0.800610363483429,0.9772956371307373,0.7204464673995972,0.9178990721702576,0.14875595271587372,0.6837252378463745,0.9451776742935181,0.38729506731033325,0.4598985016345978,0.8091641664505005,0.019022963630656402,4,0.01,32,0.01,sum,128
31,31,10_0,COMPLETED,BoTorch,18.886701581534,0.7017632126808167,0.017102602869272232,0.8026449680328369,0.975782036781311,0.7204464673995972,0.9189189672470093,0.10481736809015274,0.7399723529815674,0.9411167502403259,0.3647540807723999,0.36192893981933594,0.8308157324790955,0.01820062209541599,4,0.01,32,0.01,sum,128
11,11,10_0,COMPLETED,BoTorch,18.904734641779214,0.6826196312904358,0.015674876049160957,0.8026449680328369,0.9687184691429138,0.7113140225410461,0.8939316868782043,0.1535203903913498,0.7058552503585815,0.938071072101593,0.41495898365974426,0.3604061007499695,0.8101711869239807,0.016501860537876684,4,0.01,32,0.01,sum,128
48,48,10_0,COMPLETED,BoTorch,18.93016964290291,0.7078085541725159,0.028815776109695435,0.797049880027771,0.9692230224609375,0.7052257657051086,0.9286078810691833,0.14452090859413147,0.7035500407218933,0.9416244029998779,0.37397539615631104,0.3857868015766144,0.8237663507461548,0.028813287305335205,4,0.01,32,0.01,sum,128
