,mean,std
Activity_acc,0.6981876134872437,0.07006401410920604
org:resource_acc,0.5945947647094727,0.0173281600902272
concept:name_acc,0.7956764459609985,0.010021590030561406
lifecycle:transition_acc,0.8877217590808868,0.005544741485553288
time:timestamp_mae,0.07731610004390989,0.03690987736389765
(case) AMOUNT_REQ_mae,0.08674357292197998,0.02683813398785686
AVG_total_loss,4.43759989717177,0.21101275512547787
MAE_time:timestamp,0.07634329088032246,0.03661259276054586
MAE_(case) AMOUNT_REQ,0.08629585057497025,0.026786923924378567
