Activity_acc,org:resource_acc,concept:name_acc,lifecycle:transition_acc,time:timestamp_mae,(case) AMOUNT_REQ_mae,AVG_total_loss,MAE_time:timestamp,MAE_(case) AMOUNT_REQ
0.5075210332870483,0.47672268748283386,0.6454622149467468,0.8388235569000244,0.31022368158612934,0.21437368293603262,6.381438043145907,0.3092862367630005,0.21383565664291382
0.5520588159561157,0.49907562136650085,0.6368487477302551,0.828151285648346,0.1283396439892905,0.1205107161686534,5.880984381905624,0.12730947136878967,0.11978383362293243
0.556932806968689,0.49689075350761414,0.6370588541030884,0.8374369740486145,0.2677480088812964,0.11442620094333376,6.069582932406948,0.2667360305786133,0.11377031356096268
0.5739495754241943,0.5066806674003601,0.6397899389266968,0.8410504460334778,0.41941321179980323,0.22544497748215994,6.298738591018177,0.4185730814933777,0.2246675342321396
0.5457562804222107,0.5242016911506653,0.6427730917930603,0.8428991436958313,0.134103377305326,0.23599120335919516,6.024825644280229,0.1335320919752121,0.23528818786144257
0.6023949384689331,0.5278151035308838,0.6521849036216736,0.8345798254013062,0.27611047739074346,0.25283159173670267,6.056823812070347,0.27493709325790405,0.25213316082954407
0.5016806721687317,0.4946218430995941,0.6394957900047302,0.830798327922821,0.3404405386674972,0.2018032662925266,6.436582499316761,0.33924952149391174,0.2011723667383194
0.524747908115387,0.46844539046287537,0.6377730965614319,0.8395798206329346,0.22788559184187934,0.26046268003327505,6.358940251526379,0.22670124471187592,0.25969022512435913
0.5002521276473999,0.5337395071983337,0.6462604999542236,0.8434033989906311,0.19619264134338923,0.2292534595444089,6.198570008079211,0.19509349763393402,0.22836996614933014
0.5410924553871155,0.48941177129745483,0.6394537687301636,0.8376470804214478,0.3286967859381721,0.18716239219620115,6.303388311749413,0.3276268243789673,0.18645983934402466
