Activity_acc,org:resource_acc,concept:name_acc,lifecycle:transition_acc,time:timestamp_mae,(case) AMOUNT_REQ_mae,AVG_total_loss,MAE_time:timestamp,MAE_(case) AMOUNT_REQ
0.8730301856994629,0.655386209487915,0.8762162923812866,0.9753293395042419,0.04802013898179645,0.07519450996603284,3.2714874943097434,0.04770873486995697,0.07521816343069077
0.8868939876556396,0.6760526895523071,0.8663997054100037,0.9742529392242432,0.025688393130188898,0.03356230365378516,3.0122034507138387,0.025583287701010704,0.03357304260134697
0.8834065198898315,0.6686041355133057,0.8626108169555664,0.9768362641334534,0.03697760864382699,0.04468701957237153,3.111877165025189,0.037116773426532745,0.04472983255982399
0.8835787177085876,0.6288211345672607,0.8719538450241089,0.9761043190956116,0.03812435251616296,0.04907961047831036,3.2045251352801207,0.03830501064658165,0.049157239496707916
0.8785843253135681,0.6711013317108154,0.8700593709945679,0.9753293395042419,0.028185956180095673,0.1065359842919168,3.1538331093532697,0.028524670749902725,0.10658762603998184
0.8865064978599548,0.6718332767486572,0.8804787397384644,0.9741668701171875,0.02844406557934625,0.04744952562309447,2.9974397733097984,0.0282310638576746,0.04748760908842087
0.8756565451622009,0.6216739416122437,0.8693705201148987,0.9772668480873108,0.01299333723173255,0.10690507008915856,3.3312981750461317,0.012921370565891266,0.10691727697849274
0.85899418592453,0.6182295680046082,0.8753982186317444,0.9738224148750305,0.04986053847131275,0.08854425521123976,3.3683421806920144,0.05015657842159271,0.0884837657213211
0.8825454115867615,0.6712735295295715,0.8704468607902527,0.9764057397842407,0.08996366141807466,0.021948993738208498,3.1733244336431934,0.0895615741610527,0.021893447265028954
0.8760440349578857,0.6481959819793701,0.8594247698783875,0.974984884262085,0.02700117611814113,0.06170375059757914,3.213424309467276,0.026721471920609474,0.06172127649188042
