,trial_index,arm_name,trial_status,generation_method,AVG_total_loss,Activity_acc,MAE_case:RequestedAmount,MAE_time:timestamp,case:Activity_acc,case:OrganizationalEntity_acc,case:Project_acc,case:RequestedAmount_mae,case:RfpNumber_acc,case:Task_acc,org:resource_acc,org:role_acc,time:timestamp_mae,layers,lr,batch_size,weight_decay,aggregation,hid
46,46,46_0,COMPLETED,BoTorch,11.735282856932221,0.9403508305549622,0.12770357728004456,0.006109554786235094,0.9903349280357361,0.9151462912559509,0.8847350478172302,0.12639832096519293,0.03960190713405609,0.7542909979820251,0.9714387655258179,0.967436671257019,0.005991598216092421,4,0.01,128,0.019074495428503504,sum,128
34,34,34_0,COMPLETED,BoTorch,11.839662332268846,0.9447240829467773,0.12537719309329987,0.006457926705479622,0.9926872849464417,0.9160636067390442,0.9015147686004639,0.12432933916096334,0.03960190713405609,0.7544442415237427,0.9802111387252808,0.9578202962875366,0.006341395050252753,4,0.01,128,0.022974608425951806,sum,128
40,40,40_0,COMPLETED,BoTorch,11.861983643529971,0.9370455145835876,0.18528376519680023,0.007683994248509407,0.9910508990287781,0.9119865298271179,0.8963635563850403,0.1842693810661634,0.03960190713405609,0.7571516036987305,0.9730198383331299,0.9603134393692017,0.00758305912906373,4,0.01,128,0.02241592437566286,sum,128
39,39,39_0,COMPLETED,BoTorch,11.878641474131857,0.938011646270752,0.15687038004398346,0.006835023872554302,0.9870621562004089,0.9090306758880615,0.88136887550354,0.1562136626905865,0.03960190713405609,0.7544442415237427,0.9766409993171692,0.9658085107803345,0.00673599234195771,4,0.01,128,0.022393284322992982,sum,128
49,49,49_0,COMPLETED,BoTorch,11.88947294083536,0.9444190263748169,0.2069842666387558,0.006485761143267155,0.9912554621696472,0.9010804295539856,0.9082470536231995,0.20591616327012027,0.03960190713405609,0.7536268830299377,0.9789360761642456,0.9635697603225708,0.006366417458694842,4,0.01,128,0.019480125717349497,sum,128
43,43,43_0,COMPLETED,BoTorch,11.91701011063695,0.9343503713607788,0.17522624135017395,0.007012360729277134,0.9931475520133972,0.9204974174499512,0.8899372816085815,0.17437407636532076,0.03960190713405609,0.7536268830299377,0.9772530198097229,0.9615854620933533,0.006900028230760385,4,0.01,128,0.01964749128765731,sum,128
11,11,11_0,COMPLETED,BoTorch,11.926921283757245,0.9471141695976257,0.13918565213680267,0.006471921689808369,0.9937611818313599,0.9122923016548157,0.904931902885437,0.13811586024584593,0.03960190713405609,0.7536268830299377,0.9748049378395081,0.9565483331680298,0.00635294367869695,4,0.01,128,0.01950806160644494,sum,128
45,45,45_0,COMPLETED,BoTorch,11.937763329146913,0.9176709651947021,0.17554156482219696,0.006503158714622259,0.9902327060699463,0.8872693777084351,0.9003416895866394,0.17489084904944455,0.03960190713405609,0.7586840987205505,0.9842913150787354,0.9657576084136963,0.00639458109314243,4,0.01,128,0.01906242199306218,sum,128
44,44,44_0,COMPLETED,BoTorch,11.981890041204341,0.9285023808479309,0.1754790097475052,0.006551909260451794,0.9882894158363342,0.9035776257514954,0.8843269944190979,0.17443638377719456,0.0392908975481987,0.7561299800872803,0.9817922115325928,0.9536481499671936,0.006434887328564569,4,0.01,128,0.019591656957405116,sum,128
19,19,19_0,COMPLETED,BoTorch,11.990136916531439,0.9261123538017273,0.19560937583446503,0.007245007436722517,0.9928918480873108,0.8708083033561707,0.8991686701774597,0.19421973410579893,0.03960190713405609,0.7554658651351929,0.9804661273956299,0.9577694535255432,0.007163297928248842,4,0.01,128,0.019862038779240688,sum,128
35,35,35_0,COMPLETED,BoTorch,11.992832563748514,0.9399948716163635,0.14446473121643066,0.006454023066908121,0.9929429888725281,0.8722862005233765,0.8910593390464783,0.14335039368382207,0.03960190713405609,0.7542399168014526,0.9782220721244812,0.9560394883155823,0.006335591379967,4,0.01,128,0.02280028488591261,sum,128
41,41,41_0,COMPLETED,BoTorch,11.998671803908008,0.9270785450935364,0.1979513168334961,0.007324830628931522,0.993965744972229,0.9110692143440247,0.8555107712745667,0.19680819577640957,0.03960190713405609,0.7562321424484253,0.9865354299545288,0.9671313762664795,0.007205135292477078,4,0.01,128,0.018402173507884326,sum,128
47,47,47_0,COMPLETED,BoTorch,12.002844527700088,0.9428934454917908,0.11859067529439926,0.006696158554404974,0.991715669631958,0.9122923016548157,0.903350830078125,0.11782905969906736,0.03955007344484329,0.7536779642105103,0.9778650403022766,0.9667243361473083,0.006585279022584911,4,0.01,128,0.018052666962204443,sum,128
28,28,28_0,COMPLETED,BoTorch,12.004965085415515,0.9408593773841858,0.18243177235126495,0.007644995581358671,0.9925850033760071,0.9077566266059875,0.8919773697853088,0.18113561374721704,0.03960190713405609,0.7561299800872803,0.9729688167572021,0.9509006142616272,0.007548788355456458,4,0.01,128,0.023239295556673586,sum,128
30,30,30_0,COMPLETED,BoTorch,12.027759080463849,0.9477751851081848,0.17588680982589722,0.006162003148347139,0.9926361441612244,0.8978188037872314,0.9049829244613647,0.17463263234606496,0.03960190713405609,0.7541377544403076,0.9762329459190369,0.9568535685539246,0.006048322094742347,4,0.01,128,0.02403033126517537,sum,128
42,42,42_0,COMPLETED,BoTorch,12.065799546731999,0.9199084639549255,0.167470782995224,0.007733435835689306,0.9912554621696472,0.8984813094139099,0.843474268913269,0.1668500556714005,0.03955007344484329,0.7546485662460327,0.9832713007926941,0.963620662689209,0.007651416688329644,4,0.01,128,0.018904704985833794,sum,128
