Activity_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
0.7423892021179199,0.015190890585807594,0.772081791411007,0.015659242868423462
0.7306990027427673,0.01546820367710959,0.7918451867299154,0.015939416363835335
0.7134072184562683,0.015134584458887969,0.8068989614380131,0.01559505145996809
0.733925998210907,0.015140699590311238,0.759964663608882,0.015609070658683777
0.7228446006774902,0.01508528400996798,0.7758143114318189,0.015551852993667126
0.7436678409576416,0.015504510975197741,0.7785587830370978,0.01595499739050865
0.7207136154174805,0.015165431835492583,0.7563068781624009,0.015635130926966667
0.7210180163383484,0.015096382746521971,0.7669790032944691,0.015562952496111393
0.7269849181175232,0.015079904794938079,0.7732196029238892,0.015547811053693295
0.7353872656822205,0.015432996326126158,0.7593161073010904,0.015905030071735382
