,mean,std
Activity_acc,0.7291037678718567,0.00988668245839048
time:timestamp_mae,0.015229888900036093,0.0001691175770693917
AVG_total_loss,0.7740985289338586,0.015648948752977086
MAE_time:timestamp,0.015696055628359316,0.00016775250448231146
