Activity_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
0.8412843942642212,0.16361984765777984,0.4422246543690562,0.16421744227409363
0.8387823104858398,0.18822131988902888,0.4754900640497605,0.18920382857322693
0.8434528708457947,0.17045170658578476,0.452606361048917,0.1712220311164856
0.8447039127349854,0.17495513272782168,0.4634663841376702,0.1758309304714203
0.8397831320762634,0.1730797172834476,0.4654727311184009,0.17403514683246613
0.8414511680603027,0.1731216429422299,0.4620422478765249,0.1737017184495926
0.83936607837677,0.174324044957757,0.45859078504145145,0.17501644790172577
0.8421183824539185,0.17755123103658357,0.4700802030662696,0.17824070155620575
0.8419516086578369,0.1924286192903916,0.47790255832175416,0.19348250329494476
0.840783953666687,0.20614080068965754,0.492316959425807,0.20698592066764832
