Activity_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
1.0,0.012381574255414307,0.019422895352666576,0.012380695901811123
1.0,0.026712796029945213,0.034013218071777374,0.026719773188233376
1.0,0.039356558583676815,0.046404020356324814,0.03936034440994263
1.0,0.025676133499170344,0.03541664072933296,0.025677552446722984
1.0,0.01485949452035129,0.024521663746175665,0.01485710684210062
1.0,0.017008248794203002,0.023978419019840658,0.017011674121022224
1.0,0.00968324268857638,0.017131713898076367,0.009694268926978111
1.0,0.027822972818588216,0.034111711429432034,0.02782190777361393
1.0,0.04295717009032766,0.04885027480001251,0.04295630380511284
1.0,0.009984715996930996,0.016143491355857503,0.009985193610191345
