,mean,std
Activity_acc,0.8491121649742126,0.008454179701874216
REPAIR_IN_TIME_5D_acc,1.0,0.0
DEVICETYPE_acc,0.997901463508606,0.0005545994653813433
org:resource_acc,0.9998019933700562,0.0
time:timestamp_mae,0.012678574037885196,0.0017535680095782868
AVG_total_loss,0.5526261111817898,0.016241620700130605
MAE_time:timestamp,0.012867772113531828,0.0017452405741482343
