Activity_acc,REPAIR_IN_TIME_5D_acc,DEVICETYPE_acc,org:resource_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
0.8160618543624878,1.0,0.9982951879501343,0.9998353719711304,0.014859828711977522,0.6048243336109934,0.01532033458352089
0.8178884387016296,1.0,0.9973210096359253,0.9998353719711304,0.014319746846970367,0.6147147802617646,0.014780041761696339
0.8077812790870667,1.0,0.9982951879501343,0.9998353719711304,0.016236212214847143,0.6458783760570345,0.016681842505931854
0.8153921365737915,1.0,0.9982951879501343,0.9998353719711304,0.01533694075126397,0.6244908118962101,0.01579904928803444
0.8005357980728149,1.0,0.9971383213996887,0.9998353719711304,0.01501655455458125,0.6611375934092059,0.015464922413229942
0.8069288730621338,1.0,0.9982951879501343,0.9998353719711304,0.015059560843694367,0.6200104168257032,0.015510882250964642
0.8024841547012329,1.0,0.9982951879501343,0.9998353719711304,0.014874149493775085,0.6344912591103868,0.01532775443047285
0.8011446595191956,1.0,0.9982343316078186,0.9998353719711304,0.019917719825906188,0.6633173071007293,0.02035355754196644
0.808390200138092,1.0,0.9982951879501343,0.9998353719711304,0.01504464665623872,0.6200947173956114,0.0154961459338665
0.8124086856842041,1.0,0.9972600936889648,0.9998353719711304,0.014527930633017891,0.6233819582611384,0.014987588860094547
