Activity_acc,REPAIR_IN_TIME_5D_acc,DEVICETYPE_acc,org:resource_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
0.652507483959198,0.9840219020843506,0.9443041086196899,0.9583768844604492,0.01905525052969001,1.4868721465800743,0.01942741684615612
0.6485573649406433,0.9891006350517273,0.9387345314025879,0.9571234583854675,0.01879767532533917,1.5157137217894687,0.01917342282831669
0.6431188583374023,0.9873316287994385,0.9344281554222107,0.9623981714248657,0.020346819312850897,1.5341946251175709,0.020709319040179253
0.6568582653999329,0.9888724088668823,0.9338539242744446,0.9598913788795471,0.01936935754737964,1.497129466666497,0.019745271652936935
0.6389397978782654,0.9797991514205933,0.9359210133552551,0.9604658484458923,0.019602056237329777,1.5486618045006733,0.019970742985606194
0.6474124193191528,0.9883017539978027,0.9432705640792847,0.9514309763908386,0.01943447127766711,1.5161700218389007,0.019801078364253044
0.6439203023910522,0.9843642711639404,0.9387919306755066,0.9580634832382202,0.01911904360167682,1.5075813640325673,0.019486188888549805
0.6393977999687195,0.9905272722244263,0.9403996467590332,0.9564445614814758,0.02426097046976027,1.5398246329767924,0.024611514061689377
0.6467254757881165,0.9879593849182129,0.9423518776893616,0.9594213366508484,0.019434255339499367,1.4930227050239122,0.01980176940560341
0.6442638039588928,0.9899566173553467,0.9383325576782227,0.9635993242263794,0.0188942289433295,1.5122270872877714,0.019268831238150597
