Activity_acc,REPAIR_IN_TIME_5D_acc,DEVICETYPE_acc,org:resource_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
0.8514313697814941,1.0,0.9982781410217285,0.9998019933700562,0.011730479346098084,0.5345444557606243,0.01193116046488285
0.8422299027442932,1.0,0.9970942735671997,0.9998019933700562,0.011331868878761796,0.5549716568723517,0.011528062634170055
0.8429294228553772,1.0,0.9982781410217285,0.9998019933700562,0.013888092429720257,0.5661349766259695,0.014067159034311771
0.8591799736022949,1.0,0.9982781410217285,0.9998019933700562,0.012305497510456726,0.5415193860382331,0.01250859722495079
0.8393779993057251,1.0,0.9969866871833801,0.9998019933700562,0.012252222164534032,0.5768845742614327,0.012439951300621033
0.8523999452590942,1.0,0.9982781410217285,0.9998019933700562,0.012276254839410907,0.5424549230818613,0.0124626774340868
0.853960394859314,1.0,0.9982781410217285,0.9998019933700562,0.011908293450496307,0.5396092075205065,0.01209727581590414
0.8466960787773132,1.0,0.9980090856552124,0.9998019933700562,0.017247877328803663,0.5754245516957446,0.017417730763554573
0.8638076186180115,1.0,0.9982781410217285,0.9998019933700562,0.012370809250952382,0.535127800213798,0.012553887441754341
0.839108943939209,1.0,0.9972557425498962,0.9998019933700562,0.011474345179617797,0.5595895797473771,0.011671219021081924
