Activity_acc,REPAIR_IN_TIME_5D_acc,DEVICETYPE_acc,org:resource_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
0.74118572473526,1.0,0.9979287981987,0.9997397065162659,0.014365801091403946,0.8966475074090627,0.014729267917573452
0.7422443628311157,1.0,0.9965019226074219,0.9997397065162659,0.014088073255200135,0.9024444247387644,0.014452364295721054
0.7357084155082703,1.0,0.9971463084220886,0.9996529221534729,0.015514350287910355,0.9415427434080477,0.015855930745601654
0.7464789152145386,1.0,0.9980208277702332,0.9996963143348694,0.014821035720064844,0.9039926204101281,0.015188184566795826
0.7338672876358032,1.0,0.9971923232078552,0.9997397065162659,0.014668550667058872,0.9383046850408917,0.015016046352684498
0.738838255405426,1.0,0.9979287981987,0.9996529221534729,0.014743182893940493,0.914161667527974,0.015092234127223492
0.7383779883384705,1.0,0.9973304271697998,0.9995227456092834,0.014510733614626684,0.9218276251033929,0.014862452633678913
0.7276995778083801,1.0,0.9971463084220886,0.9998264908790588,0.01956713888304014,0.9575549406841961,0.019898883998394012
0.743763267993927,1.0,0.9977446794509888,0.9995661377906799,0.014642324935840932,0.9073382018296366,0.014989062212407589
0.739666759967804,1.0,0.9970542788505554,0.9997397065162659,0.014019523250968441,0.9124458465529116,0.014382606372237206
