Activity_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
0.9194937348365784,0.006974124222655188,0.26714945800433104,0.006825948134064674
0.9130317568778992,0.006945534736256708,0.28017730930481444,0.00679109338670969
0.9221862554550171,0.00674455456266349,0.26343119055540726,0.006575148086994886
0.9211092591285706,0.006680108141154051,0.2631522852673449,0.006521628238260746
0.920032262802124,0.007154928985983133,0.26555843206799845,0.006942307576537132
0.9124932289123535,0.008224026046015999,0.27882131324572995,0.008159900084137917
0.9227247834205627,0.006736194164576856,0.2615560153922574,0.006559555418789387
0.9057619571685791,0.007335979957133532,0.28870818979868834,0.0072075859643518925
0.9106084704399109,0.006982434710318392,0.2824777810072357,0.006837454624474049
0.9135702252388,0.007086465600878,0.2702589051543989,0.006941597443073988
