,trial_index,arm_name,trial_status,generation_method,AVG_total_loss,Activity_acc,MAE_time:timestamp,time:timestamp_mae,lr,batch_size,weight_decay,hid,layers,aggregation
15,15,15_0,COMPLETED,BoTorch,1.2115004579102,0.6000295877456665,0.016605453565716743,0.01656682410587867,0.0038392937540684823,128,0.01,128,2,max
13,13,13_0,COMPLETED,BoTorch,1.220977280040582,0.5988447070121765,0.02042672224342823,0.020400900344053903,0.007073737649513784,128,0.01,128,2,max
11,11,11_0,COMPLETED,BoTorch,1.2319643738120793,0.6055636405944824,0.03887548670172691,0.038855841780702276,0.0018450750818026459,128,0.01,128,2,max
17,17,17_0,COMPLETED,BoTorch,1.2333223026990892,0.5980637669563293,0.028995446860790253,0.02896959404150645,0.005465376356632918,256,0.01,128,2,max
18,18,18_0,COMPLETED,BoTorch,1.2335877401505908,0.6003662347793579,0.028361134231090546,0.028348616249859335,0.005984470431851392,128,0.01,128,2,max
19,19,19_0,COMPLETED,BoTorch,1.2507526706904173,0.5920854210853577,0.030556315556168556,0.030531548981865247,0.002895230958957541,128,0.010989775827402746,128,2,max
9,9,9_0,COMPLETED,BoTorch,1.2686505587771535,0.5806941986083984,0.026036513969302177,0.02602763214459022,0.009417325593891916,512,0.01,128,2,max
2,2,2_0,COMPLETED,Sobol,1.2815209857126078,0.5909813046455383,0.048398468643426895,0.04838304117321968,0.007958031792637701,512,0.010989974805367909,128,2,max
12,12,12_0,COMPLETED,BoTorch,1.32298969677339,0.547961413860321,0.023285744711756706,0.023271679195264974,0.0022167553663775715,512,0.01,128,2,max
14,14,14_0,COMPLETED,BoTorch,1.3306219711030522,0.5646308064460754,0.023229407146573067,0.023213464232782522,0.0001,128,0.012316007077849961,128,2,max
10,10,10_0,COMPLETED,BoTorch,1.3518612572737039,0.5463187098503113,0.02546641416847706,0.025447444636374713,0.0001,512,0.01,128,2,max
7,7,7_0,COMPLETED,BoTorch,1.3861318800225855,0.5577098727226257,0.0552825890481472,0.055227019526064396,0.1,128,0.01,128,2,max
6,6,6_0,COMPLETED,BoTorch,1.401696732454002,0.5362874865531921,0.04290332645177841,0.04288835566490889,0.0001,512,0.012900367507468483,128,2,max
5,5,5_0,COMPLETED,Sobol,1.4081982819611827,0.549671471118927,0.018917366862297058,0.018891263045370577,0.0039125900358181875,128,0.01989166717729456,128,2,max
8,8,8_0,COMPLETED,BoTorch,1.416617858558893,0.5519335269927979,0.08526786416769028,0.08521864667534829,0.028538111879400346,512,0.013500444773984962,128,2,max
0,0,0_0,COMPLETED,Sobol,1.511484503398339,0.5195642709732056,0.018678536638617516,0.01865408385793368,0.0001865322718407359,256,0.025570763316014895,128,2,max
4,4,4_0,COMPLETED,Sobol,1.8073961305245758,0.3963348865509033,0.018825355917215347,0.01880157705396414,0.0010138939569658027,512,0.0339721947881449,128,2,max
1,1,1_0,COMPLETED,Sobol,2.094888015811642,0.330290287733078,0.09268894046545029,0.09265192769467831,0.020423111474986877,128,0.043671306299421474,128,2,max
3,3,3_0,COMPLETED,Sobol,2.2579181425025068,0.24386006593704224,0.03750244900584221,0.0374773828436931,0.0020553520010210082,256,0.05724837272239779,128,2,max
16,16,16_0,COMPLETED,BoTorch,2.2670491411412756,0.20450261235237122,0.010404489003121853,0.010386572095255057,0.0001,128,0.1,128,2,max
