,trial_index,arm_name,trial_status,generation_method,AVG_total_loss,Activity_acc,DEVICETYPE_acc,MAE_time:timestamp,REPAIR_IN_TIME_5D_acc,org:resource_acc,time:timestamp_mae,lr,batch_size,weight_decay,hid,layers,aggregation
12,12,12_0,COMPLETED,BoTorch,1.9127304045048852,0.6531076431274414,0.8952577114105225,0.008802833035588264,0.9898340702056885,0.979425847530365,0.008786071905245383,0.00046238463658576884,128,0.01,128,2,max
14,14,14_0,COMPLETED,BoTorch,1.9640759491485853,0.6467522978782654,0.8809850811958313,0.018859075382351875,0.9898340702056885,0.979425847530365,0.018843291339774925,0.0003583136181310551,128,0.01,128,2,max
11,11,11_0,COMPLETED,BoTorch,1.9930473130910347,0.6326546669006348,0.8651639819145203,0.013608231209218502,0.9898340702056885,0.979425847530365,0.013588076013450821,0.00039139317131044367,128,0.01,128,2,max
13,13,13_0,COMPLETED,BoTorch,2.0248601152313253,0.6335433721542358,0.8668201565742493,0.01431459654122591,0.9898340702056885,0.9773926734924316,0.014300325854370992,0.0006066201862399996,128,0.01,128,2,max
10,10,10_0,COMPLETED,BoTorch,2.067023594311128,0.6301233172416687,0.847632884979248,0.027096819132566452,0.9898340702056885,0.979425847530365,0.02707584124058485,0.0001,128,0.01,128,2,max
2,2,2_0,COMPLETED,Sobol,2.3108262164952853,0.6065196394920349,0.8666046857833862,0.10550225526094437,0.9898340702056885,0.9773926734924316,0.10546345805128415,0.007958031792637701,512,0.010989974805367909,128,2,max
6,6,6_0,COMPLETED,BoTorch,2.3829792926833036,0.5888269543647766,0.8000080585479736,0.044524144381284714,0.9898340702056885,0.979425847530365,0.04450564780582984,0.0001,512,0.01,128,2,max
8,8,8_0,COMPLETED,BoTorch,2.424738759112855,0.582794725894928,0.8592664003372192,0.2227909415960312,0.9898340702056885,0.9773926734924316,0.22275949627161026,0.1,512,0.01,128,2,max
7,7,7_0,COMPLETED,BoTorch,2.540265361467997,0.4769752621650696,0.8292534947395325,0.07758603245019913,0.9898340702056885,0.979425847530365,0.0775377975900968,0.1,128,0.01,128,2,max
9,9,9_0,COMPLETED,BoTorch,2.5897225621528923,0.5810577869415283,0.7615662217140198,0.027769368141889572,0.9898340702056885,0.979425847530365,0.027746277563273906,0.0001,512,0.012003903016426148,128,2,max
5,5,5_0,COMPLETED,Sobol,3.1124535697326063,0.5422119498252869,0.6830397844314575,0.07890041917562485,0.9898340702056885,0.979425847530365,0.07882434452573459,0.0039125900358181875,128,0.01989166717729456,128,2,max
0,0,0_0,COMPLETED,Sobol,3.4776128267372646,0.5428313612937927,0.5659233927726746,0.014644963666796684,0.9898340702056885,0.979425847530365,0.014623042047023773,0.0001865322718407359,256,0.025570763316014895,128,2,max
4,4,4_0,COMPLETED,Sobol,4.2922352754076325,0.3692707419395447,0.5303360819816589,0.10730091482400894,0.9898340702056885,0.979425847530365,0.10729215949773789,0.0010138939569658027,512,0.0339721947881449,128,2,max
1,1,1_0,COMPLETED,Sobol,5.0980821427702905,0.3413044512271881,0.2724187970161438,0.10015140473842621,0.9898340702056885,0.9660553336143494,0.10005578349033992,0.020423111474986877,128,0.043671306299421474,128,2,max
3,3,3_0,COMPLETED,Sobol,6.25984798938036,0.20450261235237122,0.13950826227664948,0.19891905784606934,0.9833979606628418,0.9117251038551331,0.1989163030187289,0.0020553520010210082,256,0.05724837272239779,128,2,max
