,trial_index,arm_name,trial_status,generation_method,AVG_total_loss,Activity_acc,MAE_case:RequestedAmount,MAE_time:timestamp,case:Activity_acc,case:OrganizationalEntity_acc,case:Project_acc,case:RequestedAmount_mae,case:RfpNumber_acc,case:Task_acc,org:resource_acc,org:role_acc,time:timestamp_mae,lr,batch_size,weight_decay,hid,layers,aggregation
17,17,17_0,COMPLETED,BoTorch,12.338883875089502,0.9093942642211914,0.09246911853551865,0.1581108570098877,0.9928849935531616,0.8945976495742798,0.8803676962852478,0.0918415727656941,0.039415691047906876,0.7523611783981323,0.9534693360328674,0.9307392239570618,0.1573167919766071,0.02544048377349305,256,0.01,128,2,max
16,16,16_0,COMPLETED,BoTorch,12.354749100737621,0.9066238403320312,0.08944316953420639,0.09513802826404572,0.9928849935531616,0.8920790553092957,0.8631784319877625,0.08879619949432306,0.039415691047906876,0.7533056139945984,0.9357763528823853,0.9250094294548035,0.09474229084890942,0.0262834106583061,128,0.01,128,2,max
8,8,8_0,COMPLETED,BoTorch,12.48123856951201,0.9066867828369141,0.13366787135601044,0.06714088469743729,0.9928849935531616,0.8760231733322144,0.865634024143219,0.13294807821512222,0.039415691047906876,0.7546908259391785,0.9534693360328674,0.9209797382354736,0.06680557305036589,0.02574028143646605,128,0.010521577496253027,128,2,max
11,11,11_0,COMPLETED,BoTorch,12.564360660175945,0.8988792300224304,0.21236379444599152,0.11522656679153442,0.9928849935531616,0.8874197006225586,0.8748897910118103,0.21180394187916157,0.039415691047906876,0.7546908259391785,0.956617534160614,0.9278428554534912,0.11474547812411952,0.017821288692527165,128,0.01,128,2,max
12,12,12_0,COMPLETED,BoTorch,12.574128838689175,0.8972421288490295,0.1617925614118576,0.13968360424041748,0.9928849935531616,0.8914494514465332,0.8490744233131409,0.1612773128720217,0.039415691047906876,0.752927839756012,0.9534693360328674,0.930487334728241,0.13917662497869757,0.02149169602034881,128,0.01,128,2,max
13,13,13_0,COMPLETED,BoTorch,12.580056486131493,0.9126054644584656,0.19226399064064026,0.21306335926055908,0.9928849935531616,0.8950384259223938,0.869600772857666,0.191467693378759,0.039415691047906876,0.7523611783981323,0.9534693360328674,0.9302355051040649,0.21275723084460857,0.030819451602338937,256,0.01,128,2,max
14,14,14_0,COMPLETED,BoTorch,12.79054725209121,0.8799269795417786,0.494352787733078,0.06329547613859177,0.9928849935531616,0.8947235941886902,0.8748897910118103,0.4933718394401462,0.039415691047906876,0.7528648972511292,0.9535952806472778,0.9319355487823486,0.06308267109615859,0.022713501625882062,128,0.01,128,2,max
15,15,15_0,COMPLETED,BoTorch,12.854483408701801,0.8818788528442383,0.11272245645523071,0.4034995436668396,0.9928849935531616,0.8923938870429993,0.8597783446311951,0.11207444394050642,0.039415691047906876,0.7523611783981323,0.9357763528823853,0.9275280237197876,0.4036121548608292,0.04711482419568906,512,0.01,128,2,max
10,10,10_0,COMPLETED,BoTorch,13.028476606144809,0.9004533290863037,0.1264134794473648,0.16657868027687073,0.9928849935531616,0.8939050436019897,0.8753935098648071,0.1260045773761217,0.039415691047906876,0.7523611783981323,0.956617534160614,0.9204130172729492,0.1666221431521482,0.007879961025905975,128,0.01,128,2,max
6,6,6_0,COMPLETED,BoTorch,13.088421087495464,0.8950384259223938,0.12411793321371078,0.21391081809997559,0.9928849935531616,0.8446668982505798,0.8348444700241089,0.12308389788796735,0.039415691047906876,0.7523611783981323,0.9534693360328674,0.9308651089668274,0.213429449602615,0.03462663216222627,128,0.014165141035226253,128,2,max
9,9,9_0,COMPLETED,BoTorch,13.385963149888571,0.8530411720275879,0.26706647872924805,0.6252078413963318,0.9928849935531616,0.8779750466346741,0.8658859133720398,0.26606871707494867,0.039415691047906876,0.7549427151679993,0.931179940700531,0.9153129458427429,0.625382800434911,0.1,128,0.01,128,2,max
2,2,2_0,COMPLETED,Sobol,13.59933190255664,0.8876715898513794,0.10536890476942062,0.09906177222728729,0.9928849935531616,0.8937161564826965,0.8501448035240173,0.10486155419155609,0.039415691047906876,0.754313051700592,0.9534693360328674,0.9291021227836609,0.0987482043199761,0.007958031792637701,512,0.010989974805367909,128,2,max
7,7,7_0,COMPLETED,BoTorch,13.793244473073026,0.8010956048965454,0.3316129446029663,0.466478168964386,0.9928849935531616,0.855811595916748,0.8057549595832825,0.3307072444017543,0.039415691047906876,0.7523611783981323,0.9226167798042297,0.9221130609512329,0.466126375420149,0.1,512,0.015529226681720786,128,2,max
5,5,5_0,COMPLETED,Sobol,13.903590296048584,0.8964236378669739,0.13827481865882874,0.08879447728395462,0.9884775280952454,0.8383705019950867,0.7719430923461914,0.13756633030120716,0.039415691047906876,0.7523611783981323,0.9535952806472778,0.9296058416366577,0.08873008468816447,0.0039125900358181875,128,0.01989166717729456,128,2,max
19,19,19_0,COMPLETED,BoTorch,14.607799106234209,0.836670458316803,0.05132901296019554,0.053544532507658005,0.9928849935531616,0.8458632230758667,0.8101624250411987,0.050846655961385996,0.039415691047906876,0.7559501528739929,0.9534693360328674,0.930928111076355,0.05333603572013766,0.00013865064634256276,128,0.01,128,2,max
1,1,1_0,COMPLETED,Sobol,15.589337743125682,0.8568190336227417,0.16320443153381348,0.05701718106865883,0.9884775280952454,0.6466439962387085,0.4869033992290497,0.1617531856132108,0.039415691047906876,0.7523611783981323,0.9008311033248901,0.8864752650260925,0.056727532037468845,0.020423111474986877,128,0.043671306299421474,128,2,max
0,0,0_0,COMPLETED,Sobol,15.699973448504542,0.7956806421279907,0.06339351087808609,0.09185970574617386,0.9928849935531616,0.807077169418335,0.5045964121818542,0.06277450230405775,0.039415691047906876,0.7523611783981323,0.9534693360328674,0.9224278926849365,0.09164566789255586,0.0001865322718407359,256,0.025570763316014895,128,2,max
