,trial_index,arm_name,trial_status,generation_method,AVG_total_loss,Activity_acc,MAE_time:timestamp,time:timestamp_mae,lr,batch_size,weight_decay,hid,layers,aggregation
49,49,49_0,COMPLETED,BoTorch,1.0603148888796567,0.6087774634361267,0.022225551307201385,0.022371025010943412,0.0017154900576738924,16,0.01778512087891535,128,2,max
5,5,5_0,COMPLETED,Sobol,1.0629854388535023,0.6156740188598633,0.042641524225473404,0.04330098107457161,0.0039125900358181875,16,0.01989166717729456,128,2,max
57,57,57_0,COMPLETED,BoTorch,1.0634616807103157,0.6012539267539978,0.01748782768845558,0.01773594170808792,0.0001777117228362066,64,0.01,128,2,max
58,58,58_0,COMPLETED,BoTorch,1.0639678683131932,0.6012539267539978,0.029717937111854553,0.03031657598912716,0.0001,64,0.012029661130731506,128,2,max
50,50,15_0,COMPLETED,BoTorch,1.0642650976777077,0.6012539267539978,0.03475390002131462,0.03495134264230728,0.0001,16,0.01,128,2,max
6,6,6_0,COMPLETED,BoTorch,1.0675364397466183,0.6050156950950623,0.04282156750559807,0.04308955892920494,0.0009702212771356153,16,0.0190346415792636,128,2,max
16,16,16_0,COMPLETED,BoTorch,1.0678064398467542,0.6012539267539978,0.017657505348324776,0.017759387940168382,0.0001,128,0.01,128,2,max
30,30,30_0,COMPLETED,BoTorch,1.0687385745346547,0.6012539267539978,0.028824349865317345,0.028894538432359694,0.00012124873833749615,16,0.01,128,2,max
24,24,24_0,COMPLETED,BoTorch,1.0700701266527175,0.6006269454956055,0.027431080117821693,0.027581337094306945,0.00013103004238853598,64,0.01,128,2,max
46,46,46_0,COMPLETED,BoTorch,1.0709777168929577,0.6018809080123901,0.027689915150403976,0.027450542896986008,0.0001,128,0.011504544370133188,128,2,max
33,33,33_0,COMPLETED,BoTorch,1.0728935822844505,0.6012539267539978,0.01704617403447628,0.017245899140834808,0.0001485325861386529,64,0.01099470706108484,128,2,max
13,13,13_0,COMPLETED,BoTorch,1.075190181285143,0.5962382555007935,0.043843772262334824,0.04438060000538826,0.0021923128440246853,16,0.017705949007942756,128,2,max
53,53,53_0,COMPLETED,BoTorch,1.0756717868149281,0.5956112742424011,0.03870535269379616,0.03875544741749763,0.0011834073046977308,16,0.01816064740968856,128,2,max
9,9,9_0,COMPLETED,BoTorch,1.0826251991093159,0.5680251121520996,0.023556986823678017,0.024155987054109575,0.0020539741976770736,64,0.019129069675333784,128,2,max
51,51,51_0,COMPLETED,BoTorch,1.0840176224708558,0.6012539267539978,0.037238653749227524,0.03730596303939819,0.00022791620748155658,128,0.01276626049961737,128,2,max
26,26,26_0,COMPLETED,BoTorch,1.0854205120354892,0.6018809080123901,0.024409979581832886,0.025029491260647775,0.0001,64,0.010743565482617934,128,2,max
