,mean,std
Activity_acc,0.7723235368728638,0.010323392217241092
org:resource_acc,0.6417310953140258,0.007013928768067394
concept:name_acc,0.7926722764968872,0.006770226075147456
lifecycle:transition_acc,0.890260511636734,0.002486371481422456
time:timestamp_mae,0.017691154667131958,0.004943822978143427
(case) AMOUNT_REQ_mae,0.0847718842859779,0.008811249680971283
AVG_total_loss,3.698209210214693,0.0812518761952425
MAE_time:timestamp,0.017746747471392155,0.004902131237254205
MAE_(case) AMOUNT_REQ,0.08388283103704453,0.008855021715230626
