Activity_acc,org:resource_acc,concept:name_acc,lifecycle:transition_acc,time:timestamp_mae,(case) AMOUNT_REQ_mae,AVG_total_loss,MAE_time:timestamp,MAE_(case) AMOUNT_REQ
0.899592399597168,0.6583718061447144,0.9003070592880249,0.9616453051567078,0.025055553586710067,0.10412409937097913,2.835788319153445,0.025065960362553596,0.10271905362606049
0.891939103603363,0.6649601459503174,0.8963950872421265,0.9595305919647217,0.037843270493405204,0.09918441304138728,2.826809791759366,0.03790740668773651,0.09762419015169144
0.8971799612045288,0.6619387269020081,0.9029991626739502,0.9605257511138916,0.025373282709292004,0.11059696617580596,2.827853548562243,0.025365883484482765,0.10901366174221039
0.8910240530967712,0.6499370336532593,0.8987927436828613,0.960815966129303,0.027131463888855206,0.09905738099699929,2.875545528406898,0.02708708494901657,0.0973827987909317
0.8990100622177124,0.6608476638793945,0.8982038497924805,0.9616038203239441,0.02628681959495658,0.0983022731684503,2.8030872434555065,0.026324458420276642,0.09683465212583542
0.8823308944702148,0.6420897841453552,0.889790952205658,0.9543889760971069,0.035809853069839026,0.10422405990816298,2.99783810103933,0.0358562208712101,0.10259323567152023
0.8913983702659607,0.6542593240737915,0.8967315554618835,0.9613135457038879,0.03643667857561793,0.09221628627606801,2.8946488721384886,0.0363595187664032,0.0906451940536499
0.891939103603363,0.6490138173103333,0.8995919823646545,0.9531450271606445,0.022891822049305552,0.09513467976025172,2.865472878462502,0.022910157218575478,0.09351922571659088
0.9028782844543457,0.6613093018531799,0.9073318243026733,0.9633867740631104,0.02398448047183809,0.09802927396127156,2.7360603851931438,0.02406989224255085,0.09632492810487747
0.9062473773956299,0.670415461063385,0.9121692776679993,0.9611062407493591,0.026612612285784314,0.08601503783748263,2.6699446125754287,0.02660481072962284,0.08445270359516144
