,mean,std
Activity_acc,0.9232320725917816,0.0017583854958327764
org:resource_acc,0.7940221965312958,0.0060240844936780575
concept:name_acc,0.9238786399364471,0.003011759011477103
lifecycle:transition_acc,0.9893456757068634,0.001280074047623785
time:timestamp_mae,0.011869922153917807,0.0052450494488983255
(case) AMOUNT_REQ_mae,0.025823931214177892,0.012138111821418881
AVG_total_loss,1.6981817475320504,0.04078925098405563
MAE_time:timestamp,0.011885917559266091,0.0052311958662609485
MAE_(case) AMOUNT_REQ,0.025660718232393263,0.012173649257398446
