Activity_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
1.0,0.007407937528720747,0.06847332528559491,0.007407248020172119
1.0,0.4416890839735667,0.5041891712074479,0.44169217348098755
1.0,0.009426896809600294,0.07061612935891996,0.009425482712686062
1.0,0.00929802485431234,0.06949968061720331,0.009298416785895824
1.0,0.005833708293115099,0.06943221351442237,0.0058348532766103745
1.0,0.004672801005654037,0.06727492611389607,0.004671567585319281
1.0,0.01567529293242842,0.0769911432871595,0.0156757440418005
1.0,0.022856119166438777,0.08288048044778407,0.022854618728160858
1.0,0.013039857731200755,0.07474349543917924,0.013040336780250072
1.0,0.008355043518046537,0.0697086777848502,0.008353423327207565
