Activity_acc,org:resource_acc,impact_acc,concept:name_acc,lifecycle:transition_acc,org:group_acc,org:role_acc,organization country_acc,organization involved_acc,product_acc,resource country_acc,time:timestamp_mae,AVG_total_loss
0.6135371327400208,0.3144104778766632,1.0,0.7685589790344238,0.7008733749389648,0.9650655388832092,0.8689956665039062,0.9912663698196411,0.5021834373474121,0.6572052240371704,0.8646288514137268,0.20952058583498,16.82120764363208
0.5807860493659973,0.2532751262187958,1.0,0.72052401304245,0.6462882161140442,0.9672489166259766,0.8711790442466736,0.9912663698196411,0.5349345207214355,0.624454140663147,0.8646288514137268,0.16106434166431427,17.08992796412349
0.5218340754508972,0.3034934401512146,1.0,0.72052401304245,0.6506550312042236,0.9650655388832092,0.8275109529495239,0.9912663698196411,0.5502183437347412,0.6681222915649414,0.8296943306922913,0.058250950649380684,17.347790599014843
0.5567685961723328,0.2925764322280884,1.0,0.6768559217453003,0.652838408946991,0.9628821015357971,0.8580785989761353,0.9912663698196411,0.5436681509017944,0.6615720391273499,0.8362445831298828,0.26382769644260406,18.68664654591703
0.6572052240371704,0.24017468094825745,1.0,0.77947598695755,0.6790392994880676,0.9388646483421326,0.8209607005119324,0.9781659841537476,0.49344977736473083,0.6310043931007385,0.8318777680397034,0.1597849428653717,16.706301727623213
0.6179039478302002,0.15283842384815216,1.0,0.77947598695755,0.6550218462944031,0.9519650936126709,0.7991266250610352,0.971615731716156,0.34934496879577637,0.528384268283844,0.847161591053009,0.3689352124929428,18.765674952737754
0.6288209557533264,0.22925764322280884,1.0,0.731441080570221,0.6899563670158386,0.943231463432312,0.8253275156021118,0.9781659841537476,0.43668124079704285,0.5567685961723328,0.8624454140663147,0.49733972549438477,18.833229778319946
0.5895196795463562,0.25109171867370605,1.0,0.77947598695755,0.6790392994880676,0.9650655388832092,0.8558952212333679,0.9912663698196411,0.48471617698669434,0.5807860493659973,0.8646288514137268,0.8236774504184723,18.389549688639818
0.5917030572891235,0.2772925794124603,1.0,0.7227074503898621,0.6113536953926086,0.9650655388832092,0.8362445831298828,0.9912663698196411,0.5152838230133057,0.6091703176498413,0.8646288514137268,1.0175065994262695,17.7551556893377
0.5982533097267151,0.2554585337638855,1.0,0.6768559217453003,0.6026201248168945,0.9694323539733887,0.8689956665039062,0.9912663698196411,0.5131004452705383,0.6157205104827881,0.8624454140663147,0.47116921842098236,17.84149521161453
